eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.87,-2.5799999237060547,422.0,0.0006631095893681049,0.0,2.7073991298675537,-0.0006232436280697584,0.40186607837677,0.02539348602294922,1.0,256.0,38.75249950797297,16384.0
80.92,-1.559999942779541,4394.0,0.0007946327677927911,0.0013834635028615594,2.7036774158477783,-0.0005649150116369128,0.15888626873493195,0.04366910457611084,2.0,512.0,42.4839103280101,32768.0
79.19,-1.899999976158142,4656.0,0.002403389196842909,0.013712565414607525,2.6987762451171875,-0.0022039685864001513,0.14751403033733368,0.1412840485572815,3.0,768.0,46.003741858992726,49152.0
87.95,-2.630000114440918,4642.0,0.001872532651759684,0.0049235024489462376,2.6884734630584717,-0.0008427496650256217,0.15468566119670868,0.22107988595962524,4.0,1024.0,49.533704788889736,65536.0
80.75,-2.4000000953674316,4364.0,0.0016108540585264564,0.0043741860426962376,2.6878585815429688,-0.0015684691024944186,0.1410835236310959,0.25458163022994995,5.0,1280.0,53.28856646595523,81920.0
82.02,-2.8499999046325684,4286.0,0.004090849310159683,0.02488199807703495,2.666144371032715,-0.002428484847769141,0.13336174190044403,0.27925699949264526,6.0,1536.0,57.11199753684923,98304.0
84.93,-2.5299999713897705,4358.0,0.002846040530130267,0.014058430679142475,2.6601667404174805,-0.0024451494682580233,0.14190973341464996,0.39991140365600586,7.0,1792.0,60.87239110004157,114688.0
88.75,-2.75,4712.0,0.002428222680464387,0.009989420883357525,2.678382158279419,-0.0029424186795949936,0.14088715612888336,0.3230940103530884,8.0,2048.0,64.3502974358853,131072.0
79.95,-2.3299999237060547,4782.0,0.002489808714017272,0.012980143539607525,2.6693079471588135,-0.0036748822312802076,0.1575501412153244,0.3861125111579895,9.0,2304.0,67.77691458701156,147456.0
87.92,-2.3399999141693115,4697.0,0.002198249101638794,0.01617431640625,2.675579309463501,-0.0036286991089582443,0.12257064133882523,0.38665878772735596,10.0,2560.0,71.26579832984135,163840.0
85.09,-1.7899999618530273,4278.0,0.003685526316985488,0.02809651754796505,2.6596453189849854,-0.006328229326754808,0.10886523127555847,0.46803605556488037,11.0,2816.0,75.09603890404105,180224.0
87.33,-1.4700000286102295,4127.0,0.003909672144800425,0.0358479805290699,2.653045415878296,-0.007542771752923727,0.09959664940834045,0.46624141931533813,12.0,3072.0,79.06632084189914,196608.0
84.41,-1.5800000429153442,4561.0,0.004881438799202442,0.045654296875,2.644927978515625,-0.008230205625295639,0.08530765026807785,0.5162829756736755,13.0,3328.0,82.65926159499213,212992.0
81.24,-1.2699999809265137,4645.0,0.004093226511031389,0.03765869140625,2.639965772628784,-0.008200841955840588,0.08336595445871353,0.506921648979187,14.0,3584.0,86.18746769591235,229376.0
